#hg19.knownToEnsembl.value	hg19.kgXref.kgID	hg19.kgXref.geneSymbol	hg19.kgXref.refseq	hg19.knownToRefSeq.value
ENST00000389680	uc022bqo.2	MT-RNR1		n/a
ENST00000399654	uc010ksh.1	MAD1L1	NM_003550	NM_003550
ENST00000402746	uc003sli.1	MAD1L1		NM_001013837
ENST00000580817	uc021zyt.1	MIR4655		NR_039799
ENST00000399654	uc010ksi.1	MAD1L1	NM_003550	NM_003550
ENST00000399654	uc010ksj.3	MAD1L1	NM_003550	NM_003550
ENST00000242257	uc003slm.3	MRM2	NM_013393	NM_013393
ENST00000486040	uc003sln.3	RP11-383A19.1		NM_013393
ENST00000242257	uc003slo.3	MRM2	NM_013393	NM_013393
ENST00000222990	uc003slw.3	SNX8	NM_013321	NM_013321
ENST00000469750	uc003smh.4	BRAT1		NM_152743
ENST00000340611	uc003smi.3	BRAT1	NM_152743	NM_152743
ENST00000469750	uc003smj.2	BRAT1		NM_152743
ENST00000407904	uc003smt.3	GNA12	NM_007353	NM_007353
ENST00000275364	uc003smu.3	GNA12	NM_007353	NM_007353
ENST00000275364	uc011jwb.2	GNA12	NM_007353	NM_007353
ENST00000396946	uc003smv.3	CARD11	NM_032415	NM_032415
ENST00000404626	uc003smw.1	AC091801.1		n/a
ENST00000579503	uc021zzb.1	MIR4656		NR_039800
ENST00000445392	uc003sng.1	RADIL		NM_018059
ENST00000445392	uc003snh.1	RADIL		NM_018059
ENST00000445392	uc003sni.1	RADIL		NM_018059
ENST00000445392	uc011jwc.1	RADIL	NM_018059	NM_018059
ENST00000445392	uc003snj.1	RADIL	NM_018059	NM_018059
ENST00000445392	uc011jwd.1	RADIL		NM_018059
ENST00000404991	uc003snk.3	PAPOLB	NM_020144	NM_020144
ENST00000404774	uc003snl.1	MMD2		NR_072989
ENST00000406755	uc010ksq.3	MMD2	NM_001270375	NM_001270375
ENST00000404774	uc003snn.4	MMD2	NM_198403	NM_198403
ENST00000404774	uc003sno.4	MMD2	NM_001100600	NM_001100600
ENST00000530367	uc003snu.1	ZNF890P		NR_034163
ENST00000530367	uc010ksu.1	ZNF890P		NR_034163
ENST00000422060	uc011jwf.1	ZNF890P		NR_034163
ENST00000399537	uc003soi.4	TNRC18	NM_001080495	NM_001080495
ENST00000430969	uc003soj.3	TNRC18		NM_001080495
ENST00000430969	uc010ksx.1	TNRC18		NM_001080495
ENST00000399434	uc003sok.1	TNRC18		NM_001080495
ENST00000382368	uc003son.4	FBXL18	NM_024963	NM_024963
ENST00000453700	uc003soo.2	FBXL18	NM_024963	NM_024963
ENST00000385238	uc021zzd.1	MIR589		NR_030318
ENST00000462494	uc003sor.4	ACTB	NM_001101	NM_001101
ENST00000331789	uc003sot.4	ACTB	NM_001101	NM_001101
ENST00000425660	uc003soq.4	ACTB		NM_001101
ENST00000425013	uc010ksz.2	RNF216	NM_207116	NM_207116
ENST00000425013	uc010kta.2	RNF216		NM_207116
ENST00000425013	uc003sox.2	RNF216	NM_207111	NM_207111
ENST00000425013	uc003soy.2	RNF216	NM_207116	NM_207116
ENST00000425013	uc011jwj.2	RNF216		NM_207116
ENST00000484458	uc003spa.1	RNF216		NM_207116
ENST00000443837	uc031swm.1	RNF216-IT1		NR_046834
ENST00000476345	uc003spb.3	RNF216		n/a
ENST00000337579	uc003spg.1	RSPH10B		NM_173565
ENST00000404406	uc003sph.1	RSPH10B	NM_173565	NM_173565
ENST00000405415	uc010ktd.1	RSPH10B	NM_173565	NM_173565
ENST00000535104	uc011jwk.2	RSPH10B		NM_173565
ENST00000539903	uc021zze.1	RSPH10B		NM_173565
ENST00000265849	uc003spj.3	PMS2		NR_003085
ENST00000265849	uc003spk.3	PMS2		NR_003085
ENST00000265849	uc003spl.3	PMS2	NM_000535	NM_000535
ENST00000265849	uc011jwl.2	PMS2		NR_003085
ENST00000265849	uc010ktg.3	PMS2		NM_000535
ENST00000265849	uc010kte.3	PMS2	NM_000535	NM_000535
ENST00000265849	uc010ktf.2	PMS2		NM_000535
ENST00000199389	uc003spp.3	EIF2AK1	NM_014413	NM_014413
ENST00000199389	uc003spq.3	EIF2AK1	NM_001134335	NM_001134335
ENST00000199389	uc011jwm.1	EIF2AK1		NM_014413
ENST00000470168	uc003spr.1	EIF2AK1	NM_014413	NM_014413
ENST00000350796	uc011jws.2	CYTH3	NM_004227	NM_004227
ENST00000350796	uc003spt.3	CYTH3	NM_004227	NM_004227
ENST00000313324	uc003spu.3	FAM220A	NM_001037163	NM_001037163
ENST00000482149	uc003spy.3	DAGLB	NM_001142936	NM_001142936
ENST00000462934	uc003spz.3	DAGLB	NM_001142936	NM_001142936
ENST00000297056	uc011jwt.2	DAGLB		NM_139179
ENST00000297056	uc003sqa.3	DAGLB	NM_139179	NM_139179
ENST00000297056	uc011jwu.2	DAGLB	NM_001142936	NM_001142936
ENST00000297056	uc003sqb.3	DAGLB		NM_139179
ENST00000297056	uc003sqc.3	DAGLB		NM_139179
ENST00000297056	uc011jwv.2	DAGLB		NM_139179
ENST00000297056	uc003sqd.4	DAGLB	NM_139179	NM_139179
ENST00000421761	uc011jww.1	DAGLB		NM_001142936
ENST00000258739	uc003sqe.4	KDELR2	NM_006854	NM_006854
ENST00000258739	uc003sqf.4	KDELR2	NM_001100603	NM_001100603
ENST00000457091	uc011jwx.2	GRID2IP	NM_001145118	NM_001145118
ENST00000405858	uc011jxa.1	ZNF12		NM_016265
ENST00000405858	uc003sqs.1	ZNF12	NM_006956	NM_006956
ENST00000405858	uc003sqt.1	ZNF12	NM_016265	NM_016265
ENST00000316731	uc003sqx.2	CCZ1B	NM_198097	NM_198097
ENST00000316731	uc011jxd.2	CCZ1B		NM_198097
ENST00000464543	uc003sqy.2	CCZ1B		NM_198097
ENST00000497346	uc021zzk.1	LOC100131257		NR_034022
ENST00000399429	uc003src.1	COL28A1	NM_001037763	NM_001037763
ENST00000399429	uc011jxe.1	COL28A1		NM_001037763
ENST00000444268	uc003srd.3	COL28A1		NM_001037763
ENST00000435823	uc003sre.1	COL28A1		NM_001037763
ENST00000223129	uc003sri.3	RPA3	NM_002947	NM_002947
ENST00000402384	uc010ktr.3	ICA1	NM_022307	NM_022307
ENST00000402384	uc003srm.3	ICA1	NM_022307	NM_022307
ENST00000402384	uc003sro.5	ICA1	NM_001136020	NM_001136020
ENST00000402384	uc003srn.5	ICA1		NM_001136020
ENST00000406470	uc003srq.4	ICA1	NM_004968	NM_004968
ENST00000406470	uc003srr.4	ICA1	NM_001276478	NM_001276478
ENST00000406470	uc010kts.4	ICA1		NM_004968
ENST00000407906	uc003srs.2	ICA1	NM_022307	NM_022307
ENST00000339600	uc003srx.2	NDUFA4	NM_002489	NM_002489
ENST00000423059	uc003ssd.4	THSD7A		NM_015204
ENST00000423059	uc021zzn.1	THSD7A	NM_015204	NM_015204
ENST00000423059	uc021zzo.1	THSD7A	NM_015204	NM_015204
ENST00000452576	uc003ssj.2	VWDE	NM_001135924	NM_001135924
ENST00000452576	uc011jxl.1	VWDE		NM_001135924
ENST00000521169	uc011jxm.1	VWDE		NM_001135924
ENST00000420159	uc021zzt.1	ETV1	NM_001163150	NM_001163150
ENST00000399357	uc021zzu.1	ETV1	NM_001163152	NM_001163152
ENST00000420159	uc021zzv.1	ETV1	NM_001163151	NM_001163151
ENST00000420159	uc021zzw.1	ETV1	NM_001163150	NM_001163150
ENST00000399357	uc021zzx.1	ETV1	NM_001163152	NM_001163152
ENST00000420159	uc021zzy.1	ETV1	NM_001163151	NM_001163151
ENST00000430479	uc021zzz.1	ETV1	NM_004956	NM_004956
ENST00000430479	uc022aaa.1	ETV1	NM_001163149	NM_001163149
ENST00000343495	uc022aab.1	ETV1	NM_004956	NM_004956
ENST00000343495	uc003ssw.4	ETV1	NM_001163147	NM_001163147
ENST00000430479	uc003ssx.3	ETV1		NM_004956
ENST00000430479	uc022aac.1	ETV1	NM_001163149	NM_001163149
ENST00000242066	uc022aad.1	ETV1	NM_001163148	NM_001163148
ENST00000472931	uc010ktv.3	ETV1		NM_001163150
ENST00000399322	uc003ssz.3	DGKB	NM_004080	NM_004080
ENST00000258767	uc011jxt.2	DGKB	NM_004080	NM_004080
ENST00000406247	uc003sta.3	DGKB	NM_145695	NM_145695
ENST00000406247	uc011jxu.2	DGKB	NM_145695	NM_145695
ENST00000403963	uc011jxv.1	DGKB	NM_145695	NM_145695
ENST00000342526	uc003stb.1	AGMO	NM_001004320	NM_001004320
ENST00000262041	uc003stc.3	MEOX2	NM_005924	NM_005924
ENST00000407010	uc010ktx.2	CRPPA	NM_001101426	NM_001101426
ENST00000399310	uc010kty.2	CRPPA	NM_001101417	NM_001101417
ENST00000307068	uc003stg.3	SOSTDC1	NM_015464	NM_015464
ENST00000396652	uc003sth.3	SOSTDC1	NM_015464	NM_015464
ENST00000306999	uc003sti.3	ANKMY2	NM_020319	NM_020319
ENST00000447802	uc010ktz.3	ANKMY2		NM_020319
ENST00000419304	uc003str.3	AGR2	NM_006408	NM_006408
ENST00000468419	uc011jxy.2	AGR2		NM_006408
ENST00000310398	uc003sts.3	AGR3	NM_176813	NM_176813
ENST00000428135	uc010kub.3	SNX13	NM_015132	NM_015132
ENST00000428135	uc003stv.3	SNX13	NM_015132	NM_015132
ENST00000428135	uc010kuc.3	SNX13		NM_015132
ENST00000409389	uc003stw.1	SNX13		NM_015132
ENST00000482558	uc003stx.1	SNX13		NM_015132
ENST00000409604	uc003sty.3	SNX13		NM_015132
ENST00000506618	uc003stz.3	PRPS1L1	NM_175886	NM_175886
ENST00000242261	uc003sum.3	TWIST1	NM_000474	NM_000474
ENST00000275461	uc003suo.1	FERD3L	NM_152898	NM_152898
ENST00000222567	uc003sup.1	POLR1F	NM_001002926	NM_001002926
ENST00000580367	uc022aai.1	MIR3146		NR_036101
ENST00000405844	uc011jyg.2	TMEM196	NM_152774	NM_152774
ENST00000405844	uc003sur.3	TMEM196		NM_152774
ENST00000400331	uc003sus.4	MACC1	NM_182762	NM_182762
ENST00000400331	uc010kug.3	MACC1	NM_182762	NM_182762
ENST00000361443	uc003suy.3	SP8	NM_198956	NM_198956
ENST00000418710	uc003suz.3	SP8	NM_182700	NM_182700
ENST00000356195	uc003sve.4	CDCA7L	NM_001127370	NM_001127370
ENST00000406877	uc010kuk.3	CDCA7L	NM_018719	NM_018719
ENST00000406877	uc010kul.3	CDCA7L	NM_001127371	NM_001127371
ENST00000406877	uc003svf.4	CDCA7L	NM_001127370	NM_001127370
ENST00000344041	uc003svg.3	RAPGEF5	NM_012294	NM_012294
ENST00000401957	uc011jyl.1	RAPGEF5	NM_012294	NM_012294
ENST00000401957	uc011jym.1	RAPGEF5		NM_012294
ENST00000406890	uc003svh.3	STEAP1B	NM_207342	NM_207342
ENST00000404369	uc010kum.2	STEAP1B	NM_001164460	NM_001164460
ENST00000325042	uc010kun.2	IL6-AS1		n/a
ENST00000358435	uc003svk.4	TOMM7	NM_019059	NM_019059
ENST00000432176	uc003svm.4	FAM126A	NM_032581	NM_032581
ENST00000440481	uc003svn.4	FAM126A		NM_032581
ENST00000432176	uc011jyr.1	FAM126A		NM_032581
ENST00000419813	uc003svo.1	KLHL7-DT		NR_046220
ENST00000258729	uc003swf.3	IGF2BP3		NM_006547
ENST00000258729	uc003swg.3	IGF2BP3	NM_006547	NM_006547
ENST00000468005	uc003swh.1	IGF2BP3		NM_006547
ENST00000297071	uc003swi.3	TRA2A	NM_013293	NM_013293
ENST00000297071	uc011jzb.2	TRA2A		NM_013293
ENST00000297071	uc011jzc.3	TRA2A		NM_013293
ENST00000297071	uc011jzd.3	TRA2A		NM_013293
ENST00000392502	uc010kuo.1	TRA2A		NM_013293
ENST00000416636	uc003swk.2	CLK2P		NR_002711
ENST00000342947	uc010kus.1	GSDME	NM_001127453	NM_001127453
ENST00000342947	uc003sxa.1	GSDME	NM_004403	NM_004403
ENST00000419307	uc010kut.1	GSDME	NM_001127454	NM_001127454
ENST00000313367	uc003sxd.3	OSBPL3	NM_015550	NM_015550
ENST00000313367	uc003sxe.3	OSBPL3	NM_145320	NM_145320
ENST00000313367	uc003sxf.3	OSBPL3	NM_015550	NM_015550
ENST00000313367	uc003sxg.3	OSBPL3	NM_145321	NM_145321
ENST00000313367	uc003sxh.3	OSBPL3	NM_145320	NM_145320
ENST00000313367	uc003sxi.3	OSBPL3	NM_145322	NM_145322
ENST00000409759	uc003sxj.1	OSBPL3	NM_145321	NM_145321
ENST00000409555	uc003sxk.1	OSBPL3	NM_145322	NM_145322
ENST00000305786	uc003sxl.3	CYCS	NM_018947	NM_018947
ENST00000409280	uc003sxn.1	C7orf31	NM_138811	NM_138811
ENST00000222674	uc003sxo.3	NPVF	NM_022150	NM_022150
ENST00000446840	uc003sxp.1	AC003090.1		n/a
ENST00000362215	uc011jzf.2	MIR148A		NR_029597
ENST00000354667	uc003sxr.4	HNRNPA2B1	NM_031243	NM_031243
ENST00000354667	uc003sxs.4	HNRNPA2B1	NM_002137	NM_002137
ENST00000242109	uc003sya.2	KIAA0087		NR_022006
ENST00000345317	uc011jzi.2	SKAP2	NM_003930	NM_003930
ENST00000345317	uc003syc.3	SKAP2	NM_003930	NM_003930
ENST00000345317	uc011jzj.2	SKAP2	NM_003930	NM_003930
ENST00000343060	uc003syd.3	HOXA1	NM_153620	NM_153620
ENST00000343060	uc003sye.3	HOXA1	NM_005522	NM_005522
ENST00000222718	uc003syh.3	HOXA2	NM_006735	NM_006735
ENST00000396352	uc011jzl.2	HOXA3	NM_030661	NM_030661
ENST00000396352	uc003syk.3	HOXA3	NM_153631	NM_153631
ENST00000360046	uc003sym.4	HOXA4	NM_002141	NM_002141
ENST00000222726	uc003syn.2	HOXA5	NM_019102	NM_019102
ENST00000222728	uc003syo.2	HOXA6	NM_024014	NM_024014
ENST00000498652	uc003syq.1	RP1-170O19.23		n/a
ENST00000242159	uc003sys.3	HOXA7	NM_006896	NM_006896
ENST00000343483	uc003syt.3	HOXA9	NM_152739	NM_152739
ENST00000343483	uc022aar.1	HOXA9		NR_037940
ENST00000384852	uc022aas.1	MIR196B		NR_029911
ENST00000283921	uc011jzm.2	HOXA10	NM_018951	NM_018951
ENST00000283921	uc003syw.4	HOXA10		NR_037939
ENST00000006015	uc003syx.3	HOXA11	NM_005523	NM_005523
ENST00000517402	uc003syy.3	HOXA11		NM_005523
ENST00000222753	uc003szb.1	HOXA13	NM_000522	NM_000522
ENST00000265395	uc003szf.3	HIBADH	NM_152740	NM_152740
ENST00000265395	uc003szg.3	HIBADH		NM_152740
ENST00000265395	uc003szi.3	HIBADH	NM_152740	NM_152740
ENST00000427814	uc003szm.3	JAZF1	NM_175061	NM_175061
ENST00000283928	uc003szn.3	JAZF1	NM_175061	NM_175061
ENST00000383896	uc022aav.1	RNU6-979P		n/a
ENST00000539664	uc003szt.3	TRIL	NM_014817	NM_014817
ENST00000265394	uc003szv.3	CPVL	NM_031311	NM_031311
ENST00000396276	uc003szw.3	CPVL	NM_019029	NM_019029
ENST00000409850	uc003szx.3	CPVL	NM_031311	NM_031311
ENST00000450540	uc003tab.3	AC007255.8		n/a
ENST00000426767	uc003tad.4	LOC646762		NR_024278
ENST00000390735	uc022aay.1	MIR550A3		NR_039600
ENST00000242059	uc011jzw.2	SCRN1	NM_001145515	NM_001145515
ENST00000242059	uc010kvp.3	SCRN1	NM_001145515	NM_001145515
ENST00000242059	uc011jzx.2	SCRN1	NM_001145515	NM_001145515
ENST00000242059	uc011jzy.2	SCRN1	NM_001145515	NM_001145515
ENST00000242059	uc003tak.3	SCRN1	NM_014766	NM_014766
ENST00000426154	uc011jzz.2	SCRN1	NM_001145513	NM_001145513
ENST00000242059	uc011kaa.2	SCRN1	NM_001145514	NM_001145514
ENST00000222803	uc031sww.1	FKBP14		NR_046478
ENST00000222803	uc003tal.2	FKBP14	NM_017946	NM_017946
ENST00000222803	uc010kvq.2	FKBP14		NR_046479
ENST00000479939	uc031swx.1	FKBP14	NM_017946	NM_017946
ENST00000222823	uc003tav.3	NOD1	NM_006092	NM_006092
ENST00000222823	uc010kvs.2	NOD1		NM_006092
ENST00000419799	uc003tax.3	NOD1		NM_006092
ENST00000411552	uc003tay.2	NOD1		NM_006092
ENST00000222823	uc010kvt.2	NOD1		NM_006092
ENST00000222823	uc010kvu.2	NOD1		NM_006092
ENST00000440082	uc003taz.3	GGCT	NM_024051	NM_024051
ENST00000275428	uc022abe.1	GGCT	NM_001199815	NM_001199815
ENST00000275428	uc003tbb.3	GGCT	NM_001199816	NM_001199816
ENST00000275428	uc003tba.3	GGCT	NM_024051	NM_024051
ENST00000275428	uc003tbc.3	GGCT		NR_037669
ENST00000275428	uc022abf.1	GGCT	NM_001199817	NM_001199817
ENST00000434399	uc003tbd.3	GARS1-DT		NR_038889
ENST00000426529	uc003tbe.2	GARS1-DT		NR_038889
ENST00000426529	uc003tbf.2	GARS1-DT		NR_038889
ENST00000584621	uc003tbg.1	GARS1-DT		NR_038889
ENST00000355837	uc003tbh.1	GARS1-DT		NR_038889
ENST00000581794	uc003tbj.2	GARS1-DT		NR_038889
ENST00000454922	uc003tbk.4	GARS1-DT		n/a
ENST00000454922	uc010kvv.3	GARS1-DT		n/a
ENST00000471646	uc010kvw.2	CRHR2	NM_001202483	NM_001202483
ENST00000471646	uc003tbn.3	CRHR2	NM_001883	NM_001883
ENST00000471646	uc010kvx.2	CRHR2	NM_001202482	NM_001202482
ENST00000471646	uc022abg.1	CRHR2		NM_001202483
ENST00000471646	uc010kvy.2	CRHR2		NM_001202482
ENST00000471646	uc003tbo.3	CRHR2	NM_001202481	NM_001202481
ENST00000471646	uc003tbp.3	CRHR2	NM_001202475	NM_001202475
ENST00000348438	uc010kvz.1	CRHR2		NM_001202475
ENST00000423776	uc003tbr.1	CRHR2		NM_001202481
ENST00000445981	uc010kwa.1	CRHR2		NM_001202475
ENST00000462882	uc010kwb.1	CRHR2		NM_001202481
ENST00000297142	uc003tch.4	NEUROD6	NM_022728	NM_022728
ENST00000396191	uc003tcm.2	PDE1C	NM_001191057	NM_001191057
ENST00000321453	uc003tcn.1	PDE1C	NM_001191059	NM_001191059
ENST00000396193	uc003tco.2	PDE1C	NM_001191058	NM_001191058
ENST00000396184	uc003tcr.3	PDE1C	NM_001191056	NM_001191056
ENST00000396184	uc003tcs.3	PDE1C	NM_005020	NM_005020
ENST00000435950	uc022abk.1	LOC100130673		NR_038454
ENST00000450169	uc003tct.2	LSM5	NM_012322	NM_012322
ENST00000450169	uc003tcu.2	LSM5		NR_024466
ENST00000450169	uc011kag.1	LSM5	NM_001139499	NM_001139499
ENST00000450169	uc011kah.1	LSM5	NM_001130710	NM_001130710
ENST00000417811	uc003tcw.3	DPY19L1P1		NR_036680
ENST00000304056	uc003tdb.2	KBTBD2	NM_015483	NM_015483
ENST00000381639	uc003tdc.3	RP9P		NR_003500
ENST00000381639	uc003tdd.3	RP9P		NR_003500
ENST00000381639	uc011kaj.3	RP9P		NR_003500
ENST00000443264	uc003tdf.1	RP9P		NR_003500
ENST00000517012	uc022abn.1	RNU6-388P		n/a
ENST00000396152	uc022abo.2	NT5C3A	NM_001166118	NM_001166118
ENST00000396152	uc003tdi.4	NT5C3A	NM_016489	NM_016489
ENST00000456458	uc003tdj.4	NT5C3A	NM_001002009	NM_001002009
ENST00000456458	uc003tdk.4	NT5C3A	NM_001002010	NM_001002010
ENST00000431518	uc003tdl.1	AX721280		n/a
ENST00000297157	uc003tdm.3	RP9	NM_203288	NM_203288
ENST00000365561	uc022abr.1	RNU6-438P		n/a
ENST00000419766	uc010kwo.2	NPSR1-AS1		NR_033664
ENST00000419766	uc010kwp.2	NPSR1-AS1		NR_033665
ENST00000419766	uc003tdz.3	NPSR1-AS1		NR_033664
ENST00000419766	uc010kwq.2	NPSR1-AS1		NR_033664
ENST00000439852	uc003teb.1	NPSR1-AS1		NR_033664
ENST00000431669	uc011kaq.1	NPSR1-AS1		NR_015356
ENST00000428922	uc010kwx.1	NPSR1-AS1		NR_015356
ENST00000436945	uc010kwy.3	NPSR1-AS1		NR_015356
ENST00000442669	uc003tek.4	NPSR1-AS1		NR_015356
ENST00000310974	uc003tel.1	DPY19L1		NM_015283
ENST00000310974	uc003tem.4	DPY19L1	NM_015283	NM_015283
ENST00000408742	uc003ten.1	MIR548N		n/a
ENST00000458672	uc003tep.2	DPY19L2P1		NR_002833
ENST00000458672	uc010kwz.2	DPY19L2P1		NR_002833
ENST00000454445	uc031swy.1	DPY19L2P1		NR_002833
ENST00000408931	uc011kas.2	TBX20	NM_001077653	NM_001077653
ENST00000396081	uc003tet.3	HERPUD2	NM_022373	NM_022373
ENST00000396081	uc003tes.4	HERPUD2	NM_022373	NM_022373
ENST00000317020	uc003tfc.2	KIAA0895	NM_001199707	NM_001199707
ENST00000317020	uc011kax.1	KIAA0895	NM_001199706	NM_001199706
ENST00000317020	uc003tfb.2	KIAA0895	NM_015314	NM_015314
ENST00000317020	uc011kaw.2	KIAA0895	NM_001199708	NM_001199708
ENST00000297063	uc003tfd.2	KIAA0895	NM_001100425	NM_001100425
ENST00000415803	uc003tfe.3	KIAA0895	NM_001199707	NM_001199707
ENST00000415803	uc011kay.2	KIAA0895	NM_015314	NM_015314
ENST00000431169	uc022abu.1	AOAH	NM_001177506	NM_001177506
ENST00000258749	uc003tfh.4	AOAH	NM_001637	NM_001637
ENST00000535891	uc011kba.2	AOAH	NM_001177507	NM_001177507
ENST00000449672	uc031swz.1	AOAH-IT1		NR_046764
ENST00000396040	uc003tfi.2	ELMO1	NM_001039459	NM_001039459
ENST00000396045	uc003tfj.2	ELMO1	NM_001039459	NM_001039459
ENST00000396045	uc011kbb.2	ELMO1		NR_038120
ENST00000310758	uc011kbc.2	ELMO1	NM_014800	NM_014800
ENST00000310758	uc022abv.1	ELMO1	NM_001206482	NM_001206482
ENST00000310758	uc003tfk.2	ELMO1	NM_014800	NM_014800
ENST00000310758	uc010kxg.2	ELMO1	NM_001206480	NM_001206480
ENST00000408398	uc022abw.1	MIR1200		NR_031604
ENST00000436072	uc003tfo.4	SFRP4	NM_003014	NM_003014
ENST00000436911	uc003tfu.3	TRGC2		n/a
ENST00000436911	uc022aby.1	TRGC2	NM_001003806	NM_001003806
ENST00000436911	uc003tfv.3	TRGC2		n/a
ENST00000390333	uc003tga.1	TRGJ2		n/a
ENST00000443402	uc003tgb.2	TRGC1	NM_001003806	NM_001003806
ENST00000443402	uc003tgc.1	TRGC1	NM_001003806	NM_001003806
ENST00000443402	uc003tgd.1	TRGC1	NM_001003806	NM_001003806
ENST00000443402	uc003tgi.2	TRGC1		NM_001003799
ENST00000443402	uc003tge.1	TRGC1		NM_001003799
ENST00000390337	uc003tgk.1	TRGJ1		n/a
ENST00000390341	uc003tgl.2	TRGV10		n/a
ENST00000390343	uc010kxj.1	TRGV8		n/a
ENST00000427089	uc010kxk.1	TRGV8		n/a
ENST00000390344	uc022aca.1	TRGV5		n/a
ENST00000390346	uc003tgr.2	TRGV3		n/a
ENST00000426402	uc003tgs.1	TRGV2		n/a
ENST00000325590	uc003tgt.3	AMPH	NM_139316	NM_139316
ENST00000356264	uc003tgu.3	AMPH	NM_001635	NM_001635
ENST00000356264	uc003tgv.3	AMPH	NM_139316	NM_139316
ENST00000471913	uc003tgw.1	AMPH		NM_139316
ENST00000441628	uc010kxl.1	AMPH		NM_139316
ENST00000409072	uc011kbd.2	FAM183B		NR_028347
ENST00000310301	uc003tgx.3	VPS41		NM_080631
ENST00000310301	uc003tgy.3	VPS41	NM_014396	NM_014396
ENST00000310301	uc003tgz.3	VPS41	NM_080631	NM_080631
ENST00000310301	uc010kxn.3	VPS41	NM_014396	NM_014396
ENST00000420243	uc003tha.1	POU6F2-AS2		n/a
ENST00000582398	uc022acc.1	AC092174.1		n/a
ENST00000433519	uc031sxa.1	POU6F2-AS1		NR_046711
ENST00000306984	uc003thl.4	MPLKIP	NM_138701	NM_138701
ENST00000242208	uc003thq.3	INHBA	NM_002192	NM_002192
ENST00000242208	uc003thr.3	INHBA	NM_002192	NM_002192
ENST00000395925	uc011kbg.2	GLI3	NM_000168	NM_000168
ENST00000395925	uc011kbh.2	GLI3	NM_000168	NM_000168
ENST00000350427	uc003thx.4	RP11-111K18.1	NM_001099858	NM_001099858
ENST00000350427	uc010kxq.3	C7orf25	NM_024054	NM_024054
ENST00000442788	uc010kxr.3	RP11-111K18.1	NM_001099858	NM_001099858
ENST00000223321	uc003thy.3	PSMA2	NM_002787	NM_002787
ENST00000411875	uc003thz.1	PSMA2		NM_002787
ENST00000436105	uc003tig.1	LUARIS		NR_038276
ENST00000415076	uc003tij.4	COA1		NR_047701
ENST00000415076	uc010kxu.3	COA1		NM_018224
ENST00000438444	uc031sxb.1	COA1		NR_047701
ENST00000310564	uc003tin.2	COA1	NM_018224	NM_018224
ENST00000395880	uc003tip.2	COA1	NM_018224	NM_018224
ENST00000310564	uc003tio.2	COA1	NM_018224	NM_018224
ENST00000317534	uc003tit.1	MRPS24	NM_032014	NM_032014
ENST00000603700	uc022acg.1	URGCP-MRPS24	NM_001204871	NM_001204871
ENST00000336086	uc003tiu.3	URGCP	NM_001077664	NM_001077664
ENST00000497914	uc003tiv.3	URGCP		NM_001077663
ENST00000453200	uc003tiw.3	URGCP	NM_001077663	NM_001077663
ENST00000453200	uc003tix.3	URGCP	NM_017920	NM_017920
ENST00000453200	uc003tiy.3	URGCP	NM_001077664	NM_001077664
ENST00000223341	uc003tiz.3	URGCP	NM_001077664	NM_001077664
ENST00000223341	uc011kbj.2	URGCP	NM_001077664	NM_001077664
ENST00000427076	uc003tjc.2	POLR2J4		NR_003655
ENST00000427076	uc010kxw.2	POLR2J4		NR_003655
ENST00000326391	uc003tje.4	POLR2J4		NR_003655
ENST00000447643	uc003tjg.1	AC004951.6		n/a
ENST00000326391	uc003tjh.2	POLR2J4		NR_003655
ENST00000446874	uc003tji.2	RP5-1022I14.2		NR_024116
ENST00000446874	uc010kxx.2	RP5-1022I14.2		NR_024116
ENST00000545716	uc011kbk.1	RP5-1022I14.2	NM_006989	NM_006989
ENST00000297283	uc003tjs.3	PGAM2	NM_000290	NM_000290
ENST00000242248	uc003tjt.3	POLM	NM_013284	NM_013284
ENST00000242248	uc003tju.3	POLM		NM_013284
ENST00000242248	uc003tjv.3	POLM		NM_013284
ENST00000458246	uc003tjx.2	POLM		NM_013284
ENST00000492605	uc003tjz.4	POLM		NM_013284
ENST00000492312	uc011kbu.1	POLM		NM_013284
ENST00000492312	uc010kxy.2	POLM	NM_013284	NM_013284
ENST00000406581	uc010kxz.4	POLD2	NM_001256879	NM_001256879
ENST00000452185	uc010kya.4	POLD2	NM_001127218	NM_001127218
ENST00000406581	uc003tkf.5	POLD2	NM_006230	NM_006230
ENST00000223364	uc003tkg.3	MYL7	NM_021223	NM_021223
ENST00000395796	uc003tkj.1	GCK	NM_033508	NM_033508
ENST00000345378	uc003tkk.1	GCK	NM_033507	NM_033507
ENST00000403799	uc003tkl.2	GCK	NM_000162	NM_000162
ENST00000457475	uc003tkp.2	CAMK2B	NM_172078	NM_172078
ENST00000395749	uc003tkq.2	CAMK2B	NM_001220	NM_001220
ENST00000457475	uc003tkr.2	CAMK2B	NM_172079	NM_172079
ENST00000457475	uc003tks.2	CAMK2B	NM_172080	NM_172080
ENST00000457475	uc003tku.2	CAMK2B	NM_172081	NM_172081
ENST00000457475	uc003tkv.2	CAMK2B	NM_172083	NM_172083
ENST00000457475	uc003tkt.2	CAMK2B	NM_172082	NM_172082
ENST00000457475	uc003tkw.2	CAMK2B	NM_172084	NM_172084
ENST00000457475	uc010kyc.2	CAMK2B	NM_172078	NM_172078
ENST00000355451	uc010kye.3	NUDCD3		NM_015332
ENST00000355451	uc003tkz.3	NUDCD3	NM_015332	NM_015332
